82	0	0	0	0	0	0	0	-	M02438:125:000000000-G397Y:1:2101:25224:12216|HPV18_Qv15957|right|112	83	1	83	chr1	249250621	69081731	69081813	1	82,	0,	69081731,
72	8	0	0	0	0	1	1	+	M02438:125:000000000-G397Y:1:1102:21201:3490|HPV18_Qv15957|right|800	112	0	80	chrX	155270560	148723594	148723675	2	72,8,	0,72,	148723594,148723667,
70	6	0	0	0	0	2	3	+	M02438:125:000000000-G397Y:1:1102:21201:3490|HPV18_Qv15957|right|800	112	4	80	chr8	146364022	97666387	97666466	3	37,31,8,	4,41,72,	97666387,97666426,97666458,
54	3	0	0	1	6	1	5	+	M02438:125:000000000-G397Y:1:1102:21201:3490|HPV18_Qv15957|right|800	112	0	63	chr7	159138663	104723393	104723455	2	10,47,	0,16,	104723393,104723408,
66	5	0	0	1	18	2	18	+	M02438:125:000000000-G397Y:1:1102:21201:3490|HPV18_Qv15957|right|800	112	0	89	chr6	171115067	122644126	122644215	3	11,42,18,	0,29,71,	122644126,122644154,122644197,
67	6	0	0	0	0	0	0	+	M02438:125:000000000-G397Y:1:1102:21201:3490|HPV18_Qv15957|right|800	112	0	73	chr5	180915260	44658999	44659072	1	73,	0,	44658999,
34	1	0	0	0	0	0	0	+	M02438:125:000000000-G397Y:1:1102:21201:3490|HPV18_Qv15957|right|800	112	0	35	chr15	102531392	68952642	68952677	1	35,	0,	68952642,
112	0	0	0	0	0	0	0	+	M02438:125:000000000-G397Y:1:1102:21201:3490|HPV18_Qv15957|right|800	112	0	112	chr1	249250621	52502448	52502560	1	112,	0,	52502448,
39	2	0	0	0	0	1	1	+	M02438:125:000000000-G397Y:1:1102:21201:3490|HPV18_Qv15957|right|800	112	39	80	chr1	249250621	239445314	239445356	2	33,8,	39,72,	239445314,239445348,
72	6	0	0	0	0	1	1	-	M02438:125:000000000-G397Y:1:1102:21201:3490|HPV18_Qv15957|right|800	112	0	78	chr8	146364022	82162995	82163074	2	5,73,	34,39,	82162995,82163001,
72	8	0	0	0	0	1	1	-	M02438:125:000000000-G397Y:1:1102:21201:3490|HPV18_Qv15957|right|800	112	0	80	chr3	198022430	53016767	53016848	2	7,73,	32,39,	53016767,53016775,
45	0	0	0	2	67	2	71	-	M02438:125:000000000-G397Y:1:1102:21201:3490|HPV18_Qv15957|right|800	112	0	112	chr14	107349540	71560033	71560149	3	12,7,26,	0,22,86,	71560033,71560048,71560123,
96	8	0	0	1	1	2	7	-	M02438:125:000000000-G397Y:1:1102:21201:3490|HPV18_Qv15957|right|800	112	7	112	chr13	115169878	100678731	100678842	3	16,23,65,	0,17,40,	100678731,100678753,100678777,
93	0	0	0	0	0	0	0	-	M02438:125:000000000-G397Y:1:1103:26804:21806|HPV18_Qv15957|left|934	94	0	93	chrX	155270560	116132454	116132547	1	93,	1,	116132454,
39	0	0	0	0	0	0	0	-	M02438:125:000000000-G397Y:1:2102:7315:5648|HPV18_Qv15957|right|1008	39	0	39	chr8	146364022	128342773	128342812	1	39,	0,	128342773,
49	0	0	0	0	0	0	0	+	M02438:125:000000000-G397Y:1:2102:21519:11615|HPV18_Qv15957|right|1190	49	0	49	chr19	59128983	11046107	11046156	1	49,	0,	11046107,
49	0	0	0	0	0	0	0	+	M02438:125:000000000-G397Y:1:2101:12838:19937|HPV18_Qv15957|left|1214	54	0	49	chr8	146364022	128914599	128914648	1	49,	0,	128914599,
50	0	0	0	0	0	0	0	+	M02438:125:000000000-G397Y:1:1102:14581:15864|HPV18_Qv15957|right|1692	50	0	50	chr13	115169878	21357234	21357284	1	50,	0,	21357234,
67	3	0	0	0	0	0	0	+	M02438:125:000000000-G397Y:1:2104:16376:20132|HPV18_Qv15957|right|2313	71	1	71	chrY	59373566	3314085	3314155	1	70,	1,	3314085,
67	3	0	0	0	0	0	0	+	M02438:125:000000000-G397Y:1:2104:16376:20132|HPV18_Qv15957|right|2313	71	1	71	chrY	59373566	16126899	16126969	1	70,	1,	16126899,
